ts_art,exchange,ask,bid,edad_seg
2026-09-24 00:09:40,astropay,1645.4996,1577.1129,53
2026-09-24 00:09:40,belo,1619.0,1598.0,54
2026-09-24 00:09:40,binance,1607.8049,1589.2422,31
2026-09-24 00:09:40,binancep2p,1605.0,1599.1,10
2026-09-24 00:09:40,bingxp2p,1605.4,1600.0,57
2026-09-24 00:09:40,bitgetp2p,1606.95,1599.81,44
2026-09-24 00:09:40,bitsoalpha,1613.8755,1593.7398,6
2026-09-24 00:09:40,bybit,1630.3962,1585.3831,14
2026-09-24 00:09:40,bybitp2p,1603.0,1602.3,27
2026-09-24 00:09:40,cocoscrypto,1611.9986,1596.0022,52
2026-09-24 00:09:40,cryptomktpro,1628.1726,1581.9048,51
2026-09-24 00:09:40,decrypto,1622.6695,1579.4425,49
2026-09-24 00:09:40,eldoradop2p,1625.838,1580.1996,44
2026-09-24 00:09:40,eluter,1634.085,1579.321,51
2026-09-24 00:09:40,fiwind,1612.0,1598.0,51
2026-09-24 00:09:40,kucoinp2p,1609.5,1588.15,6
2026-09-24 00:09:40,lemoncash,1632.8604,1551.9485,50
2026-09-24 00:09:40,lemoncashp2p,1622.985,1572.2471,50
2026-09-24 00:09:40,letsbit,1614.2901,1578.1303,52
2026-09-24 00:09:40,mexc,1666.4348,1592.8287,48
2026-09-24 00:09:40,mexcp2p,1620.0,1596.0,44
2026-09-24 00:09:40,nexo,1614.9678,1597.2844,48
2026-09-24 00:09:40,okexp2p,1607.0,1599.86,7
2026-09-24 00:09:40,peanut,1636.9,1579.01,47
2026-09-24 00:09:40,ripio,1622.58,1577.861,42
2026-09-24 00:09:40,ripioexchange,1612.824,1593.8905,0
2026-09-24 00:09:40,saldo,1605.0737,1565.0992,46
2026-09-24 00:09:40,satoshitango,1639.3046,1593.9928,46
2026-09-24 00:09:40,tiendacrypto,1627.134,1588.546,45
2026-09-24 00:09:40,vitawallet,1627.4184,1580.6869,45
2026-09-24 00:09:40,wallbit,1649.9928,1582.25,44
