ts_art,exchange,ask,bid,edad_seg
2026-09-24 00:09:40,astropay,1645.4996,1577.1129,53
2026-09-24 00:09:40,belo,1619.0,1598.0,54
2026-09-24 00:09:40,binance,1607.8049,1589.2422,31
2026-09-24 00:09:40,binancep2p,1605.0,1599.1,10
2026-09-24 00:09:40,bingxp2p,1605.4,1600.0,57
2026-09-24 00:09:40,bitgetp2p,1606.95,1599.81,44
2026-09-24 00:09:40,bitsoalpha,1613.8755,1593.7398,6
2026-09-24 00:09:40,bybit,1630.3962,1585.3831,14
2026-09-24 00:09:40,bybitp2p,1603.0,1602.3,27
2026-09-24 00:09:40,cocoscrypto,1611.9986,1596.0022,52
2026-09-24 00:09:40,cryptomktpro,1628.1726,1581.9048,51
2026-09-24 00:09:40,decrypto,1622.6695,1579.4425,49
2026-09-24 00:09:40,eldoradop2p,1625.838,1580.1996,44
2026-09-24 00:09:40,eluter,1634.085,1579.321,51
2026-09-24 00:09:40,fiwind,1612.0,1598.0,51
2026-09-24 00:09:40,kucoinp2p,1609.5,1588.15,6
2026-09-24 00:09:40,lemoncash,1632.8604,1551.9485,50
2026-09-24 00:09:40,lemoncashp2p,1622.985,1572.2471,50
2026-09-24 00:09:40,letsbit,1614.2901,1578.1303,52
2026-09-24 00:09:40,mexc,1666.4348,1592.8287,48
2026-09-24 00:09:40,mexcp2p,1620.0,1596.0,44
2026-09-24 00:09:40,nexo,1614.9678,1597.2844,48
2026-09-24 00:09:40,okexp2p,1607.0,1599.86,7
2026-09-24 00:09:40,peanut,1636.9,1579.01,47
2026-09-24 00:09:40,ripio,1622.58,1577.861,42
2026-09-24 00:09:40,ripioexchange,1612.824,1593.8905,0
2026-09-24 00:09:40,saldo,1605.0737,1565.0992,46
2026-09-24 00:09:40,satoshitango,1639.3046,1593.9928,46
2026-09-24 00:09:40,tiendacrypto,1627.134,1588.546,45
2026-09-24 00:09:40,vitawallet,1627.4184,1580.6869,45
2026-09-24 00:09:40,wallbit,1649.9928,1582.25,44
2026-09-24 00:29:17,astropay,1645.4173,1577.0383,19
2026-09-24 00:29:17,belo,1619.0,1598.0,19
2026-09-24 00:29:17,binance,1608.0051,1589.44,56
2026-09-24 00:29:17,binancep2p,1605.0,1598.81,41
2026-09-24 00:29:17,bingxp2p,1605.4,1600.0,18
2026-09-24 00:29:17,bitgetp2p,1606.95,1599.81,8
2026-09-24 00:29:17,bitsoalpha,1614.2477,1594.038,32
2026-09-24 00:29:17,bybit,1630.3962,1585.3831,0
2026-09-24 00:29:17,bybitp2p,1603.0,1602.3,10
2026-09-24 00:29:17,cocoscrypto,1611.9986,1596.0022,17
2026-09-24 00:29:17,cryptomktpro,1628.3646,1581.9641,15
2026-09-24 00:29:17,decrypto,1622.6695,1579.4425,14
2026-09-24 00:29:17,eldoradop2p,1635.9875,1572.2788,10
2026-09-24 00:29:17,eluter,1634.2884,1583.3912,16
2026-09-24 00:29:17,fiwind,1612.0,1598.0,16
2026-09-24 00:29:17,kucoinp2p,1642.77,1588.0,31
2026-09-24 00:29:17,lemoncash,1632.849,1551.9377,15
2026-09-24 00:29:17,lemoncashp2p,1622.985,1572.2373,75
2026-09-24 00:29:17,letsbit,1614.0389,1577.8825,17
2026-09-24 00:29:17,mexc,1666.4348,1592.8287,14
2026-09-24 00:29:17,mexcp2p,1610.0,1596.0,29
2026-09-24 00:29:17,nexo,1614.9517,1597.2684,15
2026-09-24 00:29:17,okexp2p,1607.0,1599.85,30
2026-09-24 00:29:17,peanut,1636.9,1579.01,13
2026-09-24 00:29:17,ripio,1622.62,1577.5029,7
2026-09-24 00:29:17,ripioexchange,1612.9245,1593.8905,25
2026-09-24 00:29:17,saldo,1605.0408,1565.1481,12
2026-09-24 00:29:17,satoshitango,1639.3046,1593.9928,12
2026-09-24 00:29:17,tiendacrypto,1627.134,1588.546,11
2026-09-24 00:29:17,vitawallet,1627.4709,1580.7379,10
2026-09-24 00:29:17,wallbit,1650.1968,1582.28,10
