ts_art,exchange,ask,bid,edad_seg
2026-09-17 16:33:44,astropay,1629.5843,1561.8655,19
2026-09-17 16:33:44,belo,1608.0,1588.0,19
2026-09-17 16:33:44,binance,1594.5951,1576.184,30
2026-09-17 16:33:44,binancep2p,1594.0,1589.0,43
2026-09-17 16:33:44,bingxp2p,1593.25,1589.66,49
2026-09-17 16:33:44,bitsoalpha,1604.4996,1584.1179,28
2026-09-17 16:33:44,buenbit,1623.0714,1583.415,48
2026-09-17 16:33:44,bybit,1616.0818,1571.2637,61
2026-09-17 16:33:44,cocoscrypto,1604.0022,1584.0018,16
2026-09-17 16:33:44,cryptomktpro,1616.1122,1571.4101,15
2026-09-17 16:33:44,decrypto,1608.5854,1549.6821,10
2026-09-17 16:33:44,eldoradop2p,1617.5568,1562.8728,12
2026-09-17 16:33:44,eluter,1620.7609,1566.4426,15
2026-09-17 16:33:44,fiwind,1597.0,1587.0,15
2026-09-17 16:33:44,kucoinp2p,1597.9,1588.0,53
2026-09-17 16:33:44,lemoncash,1618.8774,1538.1413,15
2026-09-17 16:33:44,lemoncashp2p,1612.835,1566.15,15
2026-09-17 16:33:44,letsbit,1613.2754,1577.1389,40
2026-09-17 16:33:44,mexc,1664.3086,1592.8287,13
2026-09-17 16:33:44,mexcp2p,1606.0,1589.0,58
2026-09-17 16:33:44,nexo,1603.3332,1585.7772,14
2026-09-17 16:33:44,okexp2p,1591.0,1589.61,21
2026-09-17 16:33:44,peanut,1622.28,1564.91,34
2026-09-17 16:33:44,ripio,1612.63,1568.0006,55
2026-09-17 16:33:44,ripioexchange,1602.774,1584.438,33
2026-09-17 16:33:44,saldo,1596.1651,1565.9182,11
2026-09-17 16:33:44,satoshitango,1630.0439,1589.0978,8
2026-09-17 16:33:44,tiendacrypto,1612.571,1574.329,13
2026-09-17 16:33:44,vitawallet,1613.0304,1566.712,13
2026-09-17 16:33:44,wallbit,1636.539,1563.39,0
2026-09-17 16:33:44,weexp2p,1606.0,1580.1,34
2026-09-17 16:47:41,astropay,1628.7969,1561.1096,19
2026-09-17 16:47:41,belo,1608.0,1588.0,19
2026-09-17 16:47:41,binance,1593.6944,1575.2936,30
2026-09-17 16:47:41,binancep2p,1594.15,1588.38,40
2026-09-17 16:47:41,bingxp2p,1594.0,1589.72,49
2026-09-17 16:47:41,bitsoalpha,1601.884,1581.5733,28
2026-09-17 16:47:41,buenbit,1623.1715,1583.5049,48
2026-09-17 16:47:41,bybit,1615.4324,1570.6368,59
